GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pgr-master,org.egov.pgr.persistence.dto,AttributeDefinition.AttributeDefinitionBuilder,218,0,0,0,1,0,20,0,20,0
pgr-master,org.egov.pgr.persistence.dto,ServiceType,827,0,148,0,40,0,118,0,44,0
pgr-master,org.egov.pgr.persistence.dto,ServiceCategory,60,0,0,0,9,0,13,0,13,0
pgr-master,org.egov.pgr.persistence.dto,AttributeDefinition,275,0,12,0,45,0,49,0,43,0
pgr-master,org.egov.pgr.persistence.dto,ValueDefinition.ValueDefinitionBuilder,146,0,0,0,1,0,14,0,14,0
pgr-master,org.egov.pgr.persistence.dto,ServiceTypeConfiguration,96,34,0,0,22,2,20,2,20,2
pgr-master,org.egov.pgr.persistence.dto,ServiceDefinition,85,0,0,0,16,0,16,0,16,0
pgr-master,org.egov.pgr.persistence.dto,ServiceTypeConfiguration.ServiceTypeConfigurationBuilder,52,70,0,0,0,1,1,11,1,11
pgr-master,org.egov.pgr.persistence.dto,ValueDefinition,154,0,4,0,18,0,30,0,28,0
pgr-master,org.egov.pgr.persistence.dto,ServiceTypeKeyword,80,0,0,0,11,0,17,0,17,0
pgr-master,org.egov.pgr.persistence.dto,ServiceTypeKeyword.ServiceTypeKeywordBuilder,98,0,0,0,1,0,10,0,10,0
pgr-master,org.egov.pgr.persistence.dto,ServiceDefinition.ServiceDefinitionBuilder,86,0,0,0,1,0,9,0,9,0
pgr-master,org.egov.pgr.persistence.dto,ServiceType.ServiceTypeBuilder,230,0,0,0,1,0,21,0,21,0
pgr-master,org.egov.pgr.persistence.dto,ServiceCategory.ServiceCategoryBuilder,74,0,0,0,1,0,8,0,8,0
pgr-master,org.egov.pgr.util,PgrMasterConstants,8,0,0,0,2,0,2,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,PersistRouteRowMapper,38,0,0,0,8,0,2,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,EscalationTimeTypeRowMapper,30,0,0,0,7,0,2,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,SevaConfigurationKeyValuesRowMapper,39,0,4,0,10,0,4,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,GrievanceTypeRowMapper,561,0,52,0,78,0,32,0,6,0
pgr-master,org.egov.pgr.repository.rowmapper,ServiceGroupRowMapper,45,0,0,0,10,0,2,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,EscalationHierarchyRowMapper,43,0,0,0,9,0,2,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,OTPConfigRowMapper,25,0,2,0,5,0,3,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,ReceivingCenterTypeRowMapper,52,0,0,0,11,0,2,0,2,0
pgr-master,org.egov.pgr.repository.rowmapper,RouterRowMapper,374,0,12,0,77,0,13,0,7,0
pgr-master,org.egov.pgr.repository.rowmapper,ReceivingModeTypeRowMapper,82,8,2,0,16,2,2,1,1,1
pgr-master,org.egov.pgr.consumers,PGRConsumer,516,0,44,0,70,0,25,0,3,0
pgr-master,org.egov.pgr.consumers,PGRConsumerConfig,89,0,0,0,20,0,5,0,5,0
pgr-master,org.egov.pgr.domain.service.validator.valuedefinitionUniqueValidator,ValueDefinitionUniqueValuesValidator,68,0,8,0,13,0,7,0,3,0
pgr-master,org.egov.pgr.domain.service.validator.servicetypesearchvalidators,ServiceTypeSearchTenantIdValidator,6,0,0,0,3,0,3,0,3,0
pgr-master,org.egov.pgr.web.adapters.error,ServiceCodeMandatoryExceptionAdapter,44,0,0,0,17,0,4,0,4,0
pgr-master,org.egov.pgr.web.adapters.error,PGRMasterExceptionAdapter,61,0,0,0,13,0,4,0,4,0
pgr-master,org.egov.pgr.web.adapters.error,InvalidServiceTypeErrorAdapter,23,0,0,0,8,0,3,0,3,0
pgr-master,org.egov.pgr.web.adapters.error,TenantIdMandatoryExceptionAdapter,44,0,0,0,17,0,4,0,4,0
pgr-master,org.egov.pgr.persistence.querybuilder,ServiceTypeKeywordQueryBuilder,15,0,0,0,5,0,4,0,4,0
pgr-master,org.egov.pgr.persistence.querybuilder,ServiceDefinitionQueryBuilder,53,0,4,0,13,0,9,0,7,0
pgr-master,org.egov.pgr.persistence.querybuilder,ValueDefinitionQueryBuilder,54,0,6,0,12,0,8,0,5,0
pgr-master,org.egov.pgr.persistence.querybuilder,ServiceTypeConfigurationQueryBuilder,35,0,2,0,8,0,6,0,5,0
pgr-master,org.egov.pgr.persistence.querybuilder,ServiceTypeQueryBuilder,116,0,14,0,26,0,16,0,9,0
pgr-master,org.egov.pgr.persistence.querybuilder,AttributeDefinitionQueryBuilder,49,0,4,0,11,0,7,0,5,0
pgr-master,org.egov.pgr.persistence.querybuilder,ServiceCategoryQueryBuilder,5,0,0,0,2,0,2,0,2,0
pgr-master,org.egov.pgr.domain.service.validatorAttributedefinitionUniqueValidator,AttributeDefinitionUniqueValuesValidator,65,0,8,0,13,0,7,0,3,0
pgr-master,org.egov.pgr,PgrMastersApplication,29,40,0,0,5,11,1,3,1,3
pgr-master,org.egov.pgr.domain.exception,InvalidServiceTypeException,9,0,0,0,4,0,2,0,2,0
pgr-master,org.egov.pgr.domain.exception,TenantIdMandatoryException,3,0,0,0,1,0,1,0,1,0
pgr-master,org.egov.pgr.domain.exception,PGRMasterException,9,0,0,0,4,0,2,0,2,0
pgr-master,org.egov.pgr.domain.exception,ServiceCodeMandatoryException,3,0,0,0,1,0,1,0,1,0
pgr-master,org.egov.pgr.persistence.repository,ServiceTypeMessageQueueRepository,67,0,4,0,18,0,5,0,3,0
pgr-master,org.egov.pgr.persistence.repository,ServiceTypeRepository,501,0,10,0,112,0,26,0,21,0
pgr-master,org.egov.pgr.persistence.repository,ServiceTypeConfigurationMessageQueueRepository,74,0,0,0,25,0,3,0,3,0
pgr-master,org.egov.pgr.persistence.repository,ServiceDefinitionMessageQueueRepository,67,0,4,0,18,0,5,0,3,0
pgr-master,org.egov.pgr.persistence.repository,ServiceDefinitionRepository,224,0,4,0,49,0,13,0,11,0
pgr-master,org.egov.pgr.persistence.repository,ServiceCategoryRepository,40,0,0,0,10,0,3,0,3,0
pgr-master,org.egov.pgr.persistence.repository,ServiceTypeKeywordRepository,79,0,0,0,19,0,4,0,4,0
pgr-master,org.egov.pgr.persistence.repository,AttributeDefinitionRepository,254,0,2,0,59,0,10,0,9,0
pgr-master,org.egov.pgr.persistence.repository,ServiceTypeConfigurationRepository,127,9,0,0,25,4,5,1,5,1
